iso3,mys_f_1990,mys_f_1991,mys_f_1992,mys_f_1993,mys_f_1994,mys_f_1995,mys_f_1996,mys_f_1997,mys_f_1998,mys_f_1999,mys_f_2000,mys_f_2001,mys_f_2002,mys_f_2003,mys_f_2004,mys_f_2005,mys_f_2006,mys_f_2007,mys_f_2008,mys_f_2009,mys_f_2010,mys_f_2011,mys_f_2012,mys_f_2013,mys_f_2014
AFG,0.342503031,0.371860434,0.401217837,0.43057524,0.459932642,0.489290045,0.518647448,0.54800485,0.577362253,0.606719656,0.636077058,0.671958328,0.707839598,0.743720868,0.779602138,0.815483408,0.841578877,0.867674346,0.893769815,0.919865284,0.945960754,1.011199426,1.076438099,1.141676772,1.206915444
AGO,,,,,,,,,,2.23161,2.27684,2.333822012,2.395228789,2.456635567,2.518042344,2.579449122,2.640855899,2.702262677,2.763669454,2.825076232,2.886483009,2.947889787,3.009296564,3.070703341,3.132110119
ALB,6.692813596,6.696485922,6.700158247,6.703830573,6.707502899,6.711175224,6.997616629,7.284058034,7.570499439,7.856940844,8.143382249,8.235190392,8.311867441,8.388544491,8.465221541,8.541898591,8.618575641,8.695252691,8.771929741,8.980109851,9.18828996,9.39647007,9.832489967,10.07789473,10.32942445
AND,,,,,,,,,,,9.794106303,9.875223911,9.957013358,10.03948021,10.56851959,9.964730263,10.36855984,10.39617991,10.42379999,10.45142007,10.47904015,10.50666022,10.5342803,10.56190038,10.58952045
ARE,5.89831638,6.237418193,6.576520006,6.748455442,7.059659728,7.370864013,7.622698828,7.874533642,8.126368457,8.378203271,8.630038086,8.771264317,8.912490549,9.05371678,9.194943011,9.336169243,9.362230756,9.388292269,9.414353782,9.440415296,9.466476809,9.492538322,9.518599835,9.544661349,9.570722862
ARG,8.005130755,8.092670441,8.181167412,8.269664383,8.358161354,8.446658325,8.535155296,8.623652267,8.712149239,8.80064621,8.889143181,8.977640152,9.492625237,10.00761032,10.09709676,10.1865832,10.27606964,10.38473463,10.49339962,10.6630497,10.68136024,10.77540016,10.94651031,11.00965023,11.07514
ARM,9.617912344,9.693689835,9.769467326,9.845244817,9.921022309,9.9967998,10.0745203,10.15224081,10.22996131,10.30768181,10.38540232,10.39706039,10.47630634,10.55555229,10.63479824,10.71404419,10.79329014,10.87253609,10.95178204,11.03102798,11.11027393,11.18951988,11.28604245,11.38256502,11.47908759
ATG,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,10.9837358,11.00363387,11.02353195,11.04343002,11.06332809,11.08322616,11.08720578,11.09118539,11.09516501,11.09914462,11.10312423,11.16679806,11.2304719,11.29414573,11.35781956,11.4115696,11.55757999,11.6340704,11.90552044,11.96805954,12.04115963,12.15478039,12.31254959,12.04195976,12.13216019
AUT,9.635222003,9.734470367,9.834741047,9.935011727,10.03528241,10.13555309,10.23582377,10.33609445,10.43636513,10.53663581,10.63690649,10.73717717,10.83744785,10.93771853,11.03798921,11.13825989,11.09018517,11.04211044,10.92391968,11.23935032,11.30690956,11.29426003,11.34414959,11.40441036,11.62954998
